source,text,ref,new
"יהושע א, א–ט:","[""וַיְהִי אַחֲרֵי מוֹת מֹשֶׁה עֶבֶד ה' וַיֹּאמֶר ה' אֶל יְהוֹשֻׁעַ בִּן נוּן מְשָׁרֵת מֹשֶׁה לֵאמֹר: מֹשֶׁה עַבְדִּי מֵת וְעַתָּה קוּם עֲבֹר אֶת הַיַּרְדֵּן הַזֶּה אַתָּה וְכָל הָעָם הַזֶּה אֶל הָאָרֶץ אֲשֶׁר אָנֹכִי נֹתֵן לָהֶם לִבְנֵי יִשְׂרָאֵל: כָּל מָקוֹם אֲשֶׁר תִּדְרֹךְ כַּף רַגְלְכֶם בּוֹ לָכֶם נְתַתִּיו כַּאֲשֶׁר דִּבַּרְתִּי אֶל מֹשֶׁה: מֵהַמִּדְבָּר וְהַלְּבָנוֹן הַזֶּה וְעַד הַנָּהָר הַגָּדוֹל נְהַר פְּרָת כֹּל אֶרֶץ הַחִתִּים וְעַד הַיָּם הַגָּדוֹל מְבוֹא הַשָּׁמֶשׁ יִהְיֶה גְּבוּלְכֶם: לֹא יִתְיַצֵּב אִישׁ לְפָנֶיךָ כֹּל יְמֵי חַיֶּיךָ כַּאֲשֶׁר הָיִיתִי עִם מֹשֶׁה אֶהְיֶה עִמָּךְ לֹא אַרְפְּךָ וְלֹא אֶעֶזְבֶךָּ: חֲזַק וֶאֱמָץ כִּי אַתָּה תַּנְחִיל אֶת הָעָם הַזֶּה אֶת הָאָרֶץ אֲשֶׁר נִשְׁבַּעְתִּי לַאֲבוֹתָם לָתֵת לָהֶם: רַק חֲזַק וֶאֱמַץ מְאֹד לִשְׁמֹר לַעֲשׂוֹת כְּכָל הַתּוֹרָה אֲשֶׁר צִוְּךָ מֹשֶׁה עַבְדִּי אַל תָּסוּר מִמֶּנּוּ יָמִין וּשְׂמֹאול לְמַעַן תַּשְׂכִּיל בְּכֹל אֲשֶׁר תֵּלֵךְ: לֹא יָמוּשׁ סֵפֶר הַתּוֹרָה הַזֶּה מִפִּיךָ וְהָגִיתָ בּוֹ יוֹמָם וָלַיְלָה לְמַעַן תִּשְׁמֹר לַעֲשׂוֹת כְּכָל הַכָּתוּב בּוֹ כִּי אָז תַּצְלִיחַ אֶת דְּרָכֶךָ וְאָז תַּשְׂכִּיל: הֲלוֹא צִוִּיתִיךָ חֲזַק וֶאֱמָץ אַל תַּעֲרֹץ וְאַל תֵּחָת כִּי עִמְּךָ ה' אֱלֹהֶיךָ בְּכֹל אֲשֶׁר תֵּלֵךְ:""]",Joshua 1:1,
"דברים ה, א:",['וַיִּקְרָא מֹשֶׁה אֶל כָּל יִשְׂרָאֵל וַיֹּאמֶר אֲלֵהֶם שְׁמַע יִשְׂרָאֵל אֶת הַחֻקִּים וְאֶת הַמִּשְׁפָּטִים אֲשֶׁר אָנֹכִי דֹּבֵר בְּאָזְנֵיכֶם הַיּוֹם וּלְמַדְתֶּם אֹתָם וּשְׁמַרְתֶּם לַעֲשֹׂתָם:'],Deuteronomy 5:1,
"יבמות קט ע""ב:","['דתניא, רבי יוסי אומר: כל האומר אין לו תורה - אין לו תורה; פשיטא! אלא כל האומר אין לו אלא תורה - אין לו אלא תורה; הא נמי פשיטא! אלא דאפילו תורה אין לו. מאי טעמא? אמר רב פפא, אמר קרא: ולמדתם... ועשיתם כל שישנו בעשיה ישנו בלמידה, כל שאינו בעשיה אינו בלמידה.']",Yevamot 109b,
"רש""ר הירש דברים ה, א ד""ה 'ולמדתם אתם':","['ולמדתם אתם ושמרתם לעשתם. לימוד, שמירה ועשייה כוללים את כל מה שהתורה דורשת מאתנו: לקנות בלב את הדבר הנשמע ולהבין אותו במלואו, לשוות אותו לנגדנו תמיד, לקיים אותו בזהירות ובדייקנות. אולם העשייה היא תכלית הכל ואף בסיס הכל. תלמוד בלא מעשה הוא חסר ערך ואף לא יביא לידי הבנה נכונה, שהרי כל עצמו איננו אלא משחק עיוני בלא כובד הראש של ההחלטה לקיים. ""כל האומר אין לו אלא תורה... אפילו תורה אין לו, מאי טעמא, אמר רב פפא אמר קרא ולמדתם אתם ושמרתם לעשתם, כל שישנו בעשיה ישנו בלמידה, כל שאינו בעשיה אינו בלמידה"".']",,
"חידושי חתם סופר נדרים פא ע""א:","['עיקר מצוות עסק התורה הוא מצווה בפ""ע להגות בה יומם ולילה... לא לבד לידע המצווה בשעה שצריך לה אלא דרוש וקבל שכר היינו הדרשה עצמה היא השכר ונחת רוח לפני הקב""ה.']",,
"רמב""ם הלכות מלכים יב, ד–ה:","['ד. לא נתאוו החכמים והנביאים ימות המשיח, לא כדי שישלטו על כל העולם, ולא כדי שירדו בעכו""ם, ולא כדי שינשאו אותם העמים, ולא כדי לאכול ולשתות ולשמוח, אלא כדי שיהיו פנויין בתורה וחכמתה, ולא יהיה להם נוגש ומבטל, כדי שיזכו לחיי העולם הבא, כמו שביארנו בהלכות תשובה.', ""ה. ובאותו הזמן לא יהיה שם לא רעב ולא מלחמה, ולא קנאה ותחרות, שהטובה תהיה מושפעת הרבה, וכל המעדנים מצויין כעפר, ולא יהיה עסק כל העולם אלא לדעת את ה' בלבד, ולפיכך יהיו ישראל חכמים גדולים ויודעים דברים הסתומים וישיגו דעת בוראם כפי כח האדם, שנאמר כי מלאה הארץ דעה את ה' כמים לים מכסים.""]","Mishneh Torah, Kings and Wars 12:4",
"קידושין ל ע""ב:","['ת""ר: ושמתם - סם תם, נמשלה תורה כסם חיים; משל, לאדם שהכה את בנו מכה גדולה והניח לו רטיה על מכתו, ואמר לו: בני, כל זמן שהרטיה זו על מכתך, אכול מה שהנאתך ושתה מה שהנאתך, ורחוץ בין בחמין בין בצונן ואין אתה מתיירא, ואם אתה מעבירה הרי היא מעלה נומי; כך הקדוש ברוך הוא אמר להם לישראל: בני, בראתי יצר הרע ובראתי לו תורה תבלין, ואם אתם עוסקים בתורה - אין אתם נמסרים בידו, שנאמר: הלא אם תטיב שאת, ואם אין אתם עוסקין בתורה - אתם נמסרים בידו, שנאמר: לפתח חטאת רובץ, ולא עוד, אלא שכל משאו ומתנו בך, שנאמר: ואליך תשוקתו, ואם אתה רוצה אתה מושל בו, שנאמר: ואתה תמשל בו.']",Kiddushin 30b,
"חידושי המהרש""א שם ד""ה 'ושמתם סם':","['ושמתם סם תם כו\'. דלשון שימה לא יפול אאת דברי כמ""ש פ""ק דסנהדרין גבי אשר תשים אלו כלי הדיינין ופרש""י שם דשייכא בהו שימה דבר המיטלטל כו\' עכ""ל. ובדרך צחות נקט סם חיים במקום סם תם כי ההיפך מתם הוא מת שיהיה לו סם המות למכתו כמ""ש שהוא יצה""ר הוא מלאך המות והמשל אכול מה שהנאתך כו\' יש לפרש בנמשל דכל זמן שאתה עוסק בתורה שהיא הרטייה ע""ג מכתך שהוא יצה""ר אכול מה שהנאתך כו\' ר""ל שתוכל ליהנות מתענוגי עוה""ז ואי אתה בא לידי עבירה כי התורה מגינה לו כרטייה זו שמגינה על המכה שלא תעלה נומי אבל כשאין אתם עוסקים בתורה שהוא העברת הרטייה מן המכה א""א שלא יבא לידי עבירה כענין ולא ע""ה חסיד שאינו יודע במה יכשל ויש לעיין שאמר כך אמר הקדוש ברוך הוא לישראל כו\' אין אתם נמסרים בידו שנאמר הלא אם תיטיב שאת גו\' וזה הכתוב לקין נאמר ויש ליישב דלכאורה הענין כפול שאמר אם תיטיב שאת כפרש""י שתתנשא על היצה""ר למשול בו ול""ל למכתב שוב ואתה תמשול בו וע""כ אמרו תחלת המקרא אם תיטיב גו\' לגבי ישראל נאמר דלהם נתנה התורה שנקראת לקח טוב אבל לקין לא נתנה התורה ואף על פי כן קאמר לו כי הבחירה נתנה לו שנאמר ואתה תמשול בו.']",,
"הר""י וינברג (בעל שרידי אש), 'לפרקים', מהדורת ירושלים תשע""ו עמ' שעח:","[""צורת חיינו בגלות שונה היא תכלית השינוי מזו שבעבר בשבתנו איש תחת גפנו ותחת תאנתו, ארץ אבות... חיי־חול וחיי־קדש שבדת התלכדו חטיבה אחת יחידה ומיוחדת, אלה ואלה דברי אלהים־חיים, שניהם היו טבעיים לאדם שבישראל כי כאלה גם אלה נבעו ממקור נשמת־ישראל בריאה ואיתנה, מי שעבד את שדהו להנאתו או שנהנה סתם מן החיים, לא פסק עם זה ביחד לעבוד את ה' ותלמיד־חכם שהתמכר ללימוד התורה לא פרש מן הציבור והחיים, התגלתה באומה הישראלית אז תורה אחת, תורת האחדות...""]",,
"מנחות צט ע""ב:","['תניא, רבי יוסי אומר: אפילו סילק את הישנה שחרית וסידר את החדשה ערבית - אין בכך כלום, אלא מה אני מקיים לפני תמיד? שלא ילין שלחן בלא לחם. א""ר אמי: מדבריו של ר\' יוסי נלמוד, אפילו לא שנה אדם אלא פרק אחד שחרית ופרק אחד ערבית, קיים מצות לא ימוש (את) ספר התורה הזה מפיך. אמר רבי יוחנן משום ר""ש בן יוחי: אפילו לא קרא אדם אלא קרית שמע שחרית וערבית - קיים לא ימוש, ודבר זה אסור לאומרו בפני עמי הארץ. ורבא אמר: מצוה לאומרו בפני עמי הארץ. שאל בן דמה בן אחותו של ר\' ישמעאל את ר\' ישמעאל: כגון אני שלמדתי כל התורה כולה, מהו ללמוד חכמת יונית? קרא עליו המקרא הזה: לא ימוש ספר התורה הזה מפיך והגית בו יומם ולילה, צא ובדוק שעה שאינה לא מן היום ולא מן הלילה ולמוד בה חכמת יונית. ופליגא דר\' שמואל בר נחמני, דאמר ר\' שמואל בר נחמני א""ר יונתן: פסוק זה אינו לא חובה ולא מצוה אלא ברכה, ראה הקדוש ברוך הוא את יהושע שדברי תורה חביבים עליו ביותר, שנאמר: ומשרתו יהושע בן נון נער לא ימיש מתוך האהל, אמר לו הקדוש ברוך הוא: יהושע, כל כך חביבין עליך דברי תורה? לא ימוש ספר התורה הזה מפיך. תנא דבי ר\' ישמעאל: דברי תורה לא יהו עליך חובה, ואי אתה רשאי לפטור עצמך מהן.']",Menachot 99b,
"פירוש שנות אליהו הארוך על פאה א, א:","['דאילו לא הוי כתיב והגית ה""א שאינו צריך אלא תיבה א\'... לכך נאמר והגית גו\' לומר שחייב אדם ללמוד תורה יום ולילה.']",,
"ירושלמי סנהדרין פ""ב ה""ו:","['וכותב ספר תורה לשמו. שלא יהא ניאות לא בשל אביו ולא בשל רבו. ומגיהין אותו מספר עזרה על פי בית דין של שבעים ואחד. יוצא למלחמה והיא עמו שנאמר (דברים יז, יט) והיתה עמו וקרא בו כל ימי חייו. והרי דברים קל וחומר ומה אם מלך ישראל שהיה עסוק בצרכי ישראל נאמר בו וקרא בו כל ימי חייו, ההדיוט על אחת כמה וכמה. כיוצא בו נאמר ביהושע (יהושע א, ח) והגית בו יומם ולילה. והלא דברים ק""ו ומה אם יהושע שעוסק בצורכי ישראל נאמר בו והגית בו יומם ולילה, הדיוט לא כל שכן?']",Jerusalem Talmud Sanhedrin 2:6,
"רמב""ם הל' מלכים ג, ה–ו:","['ה. המלך אסור לשתות דרך שכרות, שנאמר אל למלכים שתו יין, אלא יהיה עוסק בתורה ובצרכי ישראל ביום ובלילה, שנאמר והיתה עמו וקרא בו כל ימי חייו.', 'ו. וכן לא יהיה שטוף בנשים, אפילו לא היתה לו אלא אחת לא יהיה מצוי אצלה תמיד כשאר הטפשים, שנאמר לא תתן לנשים חילך, על הסרת לבו הקפידה תורה שנאמר ולא יסור לבבו, שלבו הוא לב כל קהל ישראל לפיכך דבקו הכתוב בתורה יתר משאר העם שנאמר כל ימי חייו.']","Mishneh Torah, Kings and Wars 3:5-6",
אבן האזל שם:,"['יש לדקדק במה שכתב הרמב""ם דין מיוחד במלך שדבקו הכתוב בתורה יותר משאר העם שנאמר כל ימי חייו ולכן חייב לעסוק בתורה יותר משאר העם וקשה דבהל\' ת""ת פ""א הל\' כ כתב עד אימת חייב ללמוד תורה עד יום מותו שנאמר ופן יסורו מלבבך כל ימי חייך ומבואר דזה דין בכל אדם מישראל, ונראה דכאן אנו דנין באיסור המלך לשתות אף שרוצה להתענג בשתיה, וכן בהל\' ו שרוצה להיות מצוי אצל אשתו וזה אינו אלא במלך אבל הדיוט מותר לו להתענג אף שזה יגרום לבטול תורה בהכרח ע""י השיכרות או בעילות נשים, ולהדיוט אינו אסור אלא לבטל תורה בלי כל סיבה שאז אם הוא מסיר לבו מהתורה עובר על ופן יסורו מלבבך כל ימי חייך ועוד הרבה פסוקים מחיובי ת""ת ועי\' בספר מעלות התורה בתחילתו שמנה יותר משלשים מ""ע ומל""ת על ביטול תורה.']",,
"נדרים ח ע""א:","['ואמר רב גידל אמר רב: האומר אשכים ואשנה פרק זה, אשנה מסכתא זו - נדר גדול נדר לאלהי ישראל. והלא מושבע ועומד הוא, ואין שבועה חלה על שבועה! מאי קמ""ל? דאפי\' זרוזי בעלמא, היינו דרב גידל קמייתא! הא קמ""ל, כיון דאי בעי פטר נפשיה בקרית שמע שחרית וערבית, משום הכי חייל שבועה עליה.']",Nedarim 8a,
"רש""י שם ד""ה 'כיון':","['כיון דאי בעי פטר נפשיה בקרית שמע שחרית וערבית – דכיון דקרא ק""ש קיים לא ימוש דא""ר שמעון בן יוחי במסכת מנחות (דף צט ב) כל הקורא קרית שמע שחרית וערבית הרי זה קיים מצות לא ימוש וכיון דאי בעי פטר נפשיה מושננתם בקרית שמע דיוצא בה ידי חובתו מאותה שבועה דהר סיני משום הכי כי אמר אשנה פרק זה (אף על גב) דלא הוי מושבע בהכי דכבר פטר נפשיה ואהכי חל עליה שבועה.']",Rashi on Nedarim 8a:4:1,
